postcode_district,borough
N1,Islington
N2,Barnet
N3,Barnet
N4,Haringey
N5,Islington
N6,Haringey
N7,Islington
N8,Haringey
N10,Haringey
N11,Barnet
N12,Barnet
N13,Enfield
N14,Enfield
N15,Haringey
N16,Hackney
N17,Haringey
N19,Islington
N22,Haringey
NW1,Camden
NW2,Brent
NW3,Camden
NW5,Camden
NW6,Camden
NW7,Barnet
NW8,Westminster
NW9,Barnet
NW10,Brent
NW11,Barnet
E1,Tower Hamlets
E1W,Tower Hamlets
E2,Tower Hamlets
E3,Tower Hamlets
E5,Hackney
E6,Newham
E7,Newham
E8,Hackney
E9,Hackney
E11,Waltham Forest
E14,Tower Hamlets
E15,Newham
E17,Waltham Forest
E18,Redbridge
EC1A,City of London
EC1M,City of London
EC1N,City of London
EC1R,City of London
EC1V,City of London
EC1Y,City of London
EC2A,City of London
EC2M,City of London
EC2N,City of London
EC2R,City of London
EC2V,City of London
EC2Y,City of London
EC3A,City of London
EC3M,City of London
EC3N,City of London
EC3R,City of London
EC3V,City of London
EC4A,City of London
EC4M,City of London
EC4N,City of London
EC4R,City of London
EC4V,City of London
EC4Y,City of London
W1,Westminster
W2,Westminster
W4,Hounslow
W5,Ealing
W6,Hammersmith and Fulham
W8,Kensington and Chelsea
W9,Westminster
W10,Kensington and Chelsea
W11,Kensington and Chelsea
W12,Hammersmith and Fulham
W14,Hammersmith and Fulham
SW1,Westminster
SW3,Kensington and Chelsea
SW4,Lambeth
SW5,Kensington and Chelsea
SW6,Hammersmith and Fulham
SW7,Kensington and Chelsea
SW8,Wandsworth
SW9,Lambeth
SW10,Kensington and Chelsea
SW11,Wandsworth
SW12,Lambeth
SW14,Richmond upon Thames
SW15,Wandsworth
SW16,Lambeth
SW17,Wandsworth
SW18,Wandsworth
SW19,Merton
SW20,Merton
SE1,Southwark
SE3,Greenwich
SE5,Southwark
SE8,Lewisham
SE10,Greenwich
SE11,Lambeth
SE13,Lewisham
SE14,Lewisham
SE15,Southwark
SE16,Southwark
SE17,Southwark
SE18,Greenwich
SE19,Lambeth
SE22,Southwark
SE24,Lambeth
SE25,Croydon
SE27,Lambeth
